Epoch,Train_Accuracy,Validation_Accuracy
1,0.333714277,0.545000017
2,0.736142874,0.842333317
3,0.816714287,0.853666663
4,0.858857155,0.894999981
5,0.898571432,0.931666672
6,0.920714259,0.952333331
7,0.939999998,0.959666669
8,0.948428571,0.963
9,0.956142843,0.962333322
10,0.95714283,0.968666673
11,0.960857153,0.963666677
12,0.962142885,0.975333333
13,0.967285693,0.971666694
14,0.967000008,0.972000003
15,0.968857169,0.966000021
16,0.971000016,0.978666663
17,0.970428586,0.978666663
18,0.971714258,0.972333312
19,0.973142862,0.978333354
20,0.973142862,0.976999998
21,0.975714266,0.982333362
22,0.976000011,0.982333362
23,0.975285709,0.978333354
24,0.9777143,0.983333349
25,0.977428555,0.982666671
26,0.980571449,0.98299998
27,0.979857147,0.985333323
28,0.978428543,0.983333349
29,0.980285704,0.984000027
30,0.98299998,0.985333323
31,0.984571457,0.983333349
32,0.980000019,0.982333362
33,0.98299998,0.989000022
34,0.981428564,0.988666654
35,0.981142879,0.989666641
36,0.98357141,0.984333336
37,0.982285738,0.987666667
38,0.983857155,0.984333336
39,0.983857155,0.987333357
40,0.983714283,0.991333306
41,0.986285686,0.990333319
42,0.98414284,0.983666658
43,0.986571431,0.989000022
44,0.98828572,0.990999997
45,0.986571431,0.992333353
46,0.985428572,0.990666687
47,0.987428546,0.992999971
48,0.987857163,0.99333334
49,0.986857116,0.989666641
50,0.989857137,0.991333306
51,0.987142861,0.980000019
52,0.986857116,0.990333319
53,0.986000001,0.992333353
54,0.989714265,0.985666692
55,0.98828572,0.992333353
56,0.98828572,0.993666649
57,0.987714291,0.992333353
58,0.989285707,0.978666663
59,0.99000001,0.985666692
60,0.989857137,0.992999971
61,0.991142869,0.996333361
62,0.990142882,0.994666696
63,0.992142856,0.989333332
64,0.991428554,0.993666649
65,0.991142869,0.997333348
66,0.989857137,0.99666667
67,0.99471426,0.987333357
68,0.991571426,0.996333361
69,0.991428554,0.994333327
70,0.991142869,0.990999997
71,0.991714299,0.99666667
72,0.995142877,0.995999992
73,0.992857158,0.992999971
74,0.993571401,0.998000026
75,0.99414283,0.998666644
76,0.994571447,0.994666696
77,0.990999997,0.998000026
78,0.992857158,0.995999992
79,0.994428575,0.999000013
80,0.991428554,0.996333361
81,0.994428575,0.992999971
82,0.993571401,0.995999992
83,0.995714307,0.996999979
84,0.993714273,0.997333348
85,0.991428554,0.995999992
86,0.994571447,0.995000005
87,0.994428575,0.996999979
88,0.995571434,0.995666683
89,0.991714299,0.994666696
90,0.996857166,0.991999984
91,0.993714273,0.997333348
92,0.992999971,0.998333335
93,0.994285703,0.992999971
94,0.996428549,0.998333335
95,0.992142856,0.991999984
96,0.99471426,0.998333335
97,0.993571401,0.980333328
98,0.993571401,0.996999979
99,0.996428549,0.998000026
100,0.995714307,0.995333314
